titulo,transcripcion
Cómo registrar una transferencia bancaria?,"vamos a ver cómo registrar una
transferencia entre algunos de nuestros
bancos vamos a entrar la registración
movimiento de fondos
y vamos a seleccionar el tipo de
movimiento transferencia bancaria en el
segundo selector vamos a poner el banco
de destino de los fondos
y
vamos a completar con este botoncito
amarillo cual es el banco de origen de
ese movimiento el movimiento lo podemos
registrar con un cheque o con una
transferencia por home banking vamos a
hacer un ejemplo con un cheque ponemos
el número de cheque
podemos poner algún comentario si
queremos y vamos a buscar el banco de
origen y vamos a poner el importe
si fuera una transferencia solamente
ponemos si queremos el número de la
transferencia acá y por supuesto el
banco de destino
podemos aceptar
y ponemos si nosotros dejamos el
casillero del número en cero se habilita
el botón imprimir si yo solamente lo que
por supuesto imprime y graba no es
cierto si yo solamente lo quiero grabar
porque es un movimiento interno y no lo
encuentro el sentido de gastar un papel
para imprimir esto le pongo número con
la flechita azul que siempre me va a
indicar el número que está disponible y
fíjense que el botón imprimirse griso y
solamente lo voy a grabar
comprobante registrado si yo quiero ver
esto en el libro de bancos quiero
revisar como me quedo el saldo del banco
voy a ir a informes contables
blancos
voy a poner el banco al que mande la
plata y voy a encontrar
esta transfer esta es la dice recién
está
es la transferencia de 15 mil pesos que
me incrementó el saldo y en cambio si
entro al banco nación que en el ejemplo
que hicimos fue donde saqué el cheque
acá tengo el saldo"
Cómo hacer un pago por movimiento de fondos?,"desde el punto registración movimientos
de fondos también podemos hacer una
orden de pago
desde este punto a diferencia del punto
orden de pago que ya vimos no puedo
generar las retenciones
esto sería para el caso en que yo ya
tengo generada la retención y la aplicó
en el pago o si no le tengo que generar
retenciones
a este proveedor vamos a seleccionar el
tipo de movimiento pago en cuenta
corriente
luego en el selector que sigue vamos a
poner la cuenta corriente a la que le
voy a pagar

acá van a aparecer los saldos esto es
una demo de prueba así que no tengamos
en cuenta este saldo si yo voy a
imprimir el comprobante voy a dejar el
casillero de número en cero si lo voy a
grabar solamente voy a poner el número
que sigue que está libre con la flechita
azul
y para ingresar los datos del pago voy a
tocar este botoncito previamente tengo
esta parte de arriba en la que puedo
seleccionar la moneda que voy a grabar
el movimiento la moneda en que voy a
expresar lo
y puedo poner algún comentario o alguna
leyenda si es que necesito vamos a
ingresar los datos del pago cuando yo
toco el botón amarillo para ingresar el
modo en que estoy pagando se despliegan
estas solapas y puedo seleccionar más de
una las opciones son un cheque propio un
cheque de terceros
yo voy a seleccionar de los cheques que
tengo en la cartera con cuál voy a hacer
este pago efectivo
y otros que lo utilizamos para
transferencias si ya tengo emitida una
retención la puedo poner acá y débito en
cuentas corrientes cuando yo hago
traspasos de saldos entre algunas de las
cuentas corrientes con las que operó
vamos a hacer un pago con un cheque
propio
ponemos el número de cheque

ponemos el banco con el que voy a apagar

y ponemos el valor
y el cheque que pasa cuando yo tengo que
completar el valor del cheque no me
sugiere ningún importe porque yo el
sistema no sabe qué es lo que estoy
pagando de todo el saldo que tiene esta
cuenta corriente no sabe que estoy
pagando vamos a volver para atrás voy a
cancelar esto y voy a seleccionar una de
las facturas o acá tengo muchas facturas
pendientes de pago esta cuenta esta es
prolija no tiene aplicado en los
comprobantes vamos a buscar la última
factura que tengo que es la que se
emitió el solo registre con fecha de
emisión primero de febrero que es la
última
si yo selecciono la factura en el mismo
paso que estoy generando el pago estoy
aplicando los comprobantes y fíjense que
cuando yo entré a la carpetita amarilla
el sistema ya me sugiere el importe
entonces yo solamente voy a tener que
poner el número de cheque y seleccionar
el banco con el que voy a emitir el
cheque el importe ya está puesto si si
yo quiero hacer un cheque por ejemplo
por cinco mil pesos estas son todas las
variantes
completo el importe del cheque con 5000
y lo que me falta
lo pongo en otro renglón me faltan dos
mil 260 pesos que les voy a pagar con
una transferencia

completo los datos
y pongo aceptar y ahí sigue el importe
de la factura tocar el botón grabar
y ya me quedó registrado el pago"
Cómo hacer los informes para el SIAP?,"vamos a ver cómo realizar los informes
para los organismos como afip arba
entramos al punto de informes
impositivos en este caso vamos a ir a
informes para el siap
y en la primera de las solapas que es la
solapa informes tenemos un renglón por
cada informe posible lo que tenemos que
hacer es seleccionar el informe que
queremos hacer por ejemplo vamos a
entrar a este
seleccionamos el renglón
ponemos la fecha desde
y el sistema completa la fecha hasta en
el caso de los informes que se puedan
hacer mensualmente o quincenalmente es
el usuario que decide qué fecha hasta
quiere poner
una vez que pusimos el rango de fechas
ponemos el botón tocamos el botón
generar cuando tocamos generar el
sistema nos va a pedir que indiquemos en
qué carpeta vamos a guardar este archivo
en la mayoría de los casos este archivo
después lo vamos a tener que importar en
un aplicativo o directamente en la
página del ente recaudador depende de la
del informe que sea es el destino que va
a tener ese archivo pero siempre vamos a
tener que guardarlo en una carpeta de
nuestra máquina en este caso por ejemplo
yo tengo una carpeta que se llama feed
lo guardo ahí
me indica que la generación ya está
finalizada y yo tengo la posibilidad de
ver más claramente la mayoría de los
informes se generan en un txt que muchas
veces no es muy claro para analizar
entonces tenemos la posibilidad de ver
en estas solapas por ejemplo en este
informe en el que vemos los comprobantes
y las alícuotas de compras y de ventas
la información que levanto si yo lo
quisiera
verificar controlar o comparar con algún
otro informe
tengo la solapa de ventas las alícuotas
de ventas la de comprobantes de compras
y alícuotas de compras
acá me indica el sistema en qué carpeta
lo tengo guardados o lo que tengo que
hacer ahora es ir al aplicativo y desde
el aplicativo tocar el botón para ir a
buscar el archivo y entrar a esta
carpeta
para poder encontrar el archivo vamos a
ir nosotros desde acá estos son los
cuatro txt que se generaron que yo voy a
importar en el aplicativo
desde esta pantalla lo que yo puedo
hacer es imprimir estos informes cada
una de las solapas la puedo imprimir o
la puedo exportar a un excel si yo
quisiera trabajar con esta información
pero esto no quiere decir que la
exportación la hago desde acá lo que
tengo que exportar o importar en el
aplicativo mejor dicho es los archivos
txt que se generaron en esta carpeta que
tengo acá"
Cómo configurar la lista de impuestos?,"vamos a entrar al punto de impuestos
en este cuadro están todos los impuestos
si cada uno si yo selecciono cada uno de
los renglones tiene información
específica en este costado donde está
por ejemplo en el caso de los grabados
la alícuota que le corresponde
si yo bajo un poquito más voy a ver
percepciones
luego voy a tener retenciones empieza
con y va luego sigue con ganancias luego
con ingresos brutos y después hay
sellados y otros otros impuestos
específicos
lo que sí voy a tener que personalizar
en este punto cada empresa tiene que
personalizar es la cuenta contable que
va a utilizar cada impuesto cada vez que
se registra una factura de un proveedor
o emita una factura propia a un cliente
o una liquidación de cereales todo lo
que necesite lo que utilice esta lista
de impuestos el sistema me va a pedir me
va a exigir que este impuesto tenga una
cuenta contable para poder armar el
asiento
entonces para indicarle al sistema que
cuenta contable va a usar lo que vamos a
hacer es arrastrar con el mouse para
pintar todo lo que quiere seleccionar
estos son son todos y va que muchos
tienen la misma alícuota pero son
diferentes tipos de importes para que el
sistema sepa después que retenciones
tiene que hacer en cada caso eso lo
vamos a ir viendo más adelante pero lo
que sí tenemos que hacer acá en este
punto es aplicar la cuenta contable que
vamos a usar sí
por ejemplo crédito fiscal iba débito
fiscal y una vez que puse las cuentas
contables que quiero usar voy a tocar el
botón modificar y acá el sistema me me
pide que le confirme si realmente yo
quiero usar esas cuentas contables para
los impuestos seleccionados le voy a
decir que sí
entonces cuando yo tenga que registrar o
emitir un comprobante que contenga
alguno de estos impuestos que
seguramente algunos va a ser va a
utilizar la cuenta contable que acabo de
asignar y así con todos
es extensa la lista y en todos los casos
voy a tener la información de las
alícuotas del mínimo no imponible
fíjense que está el piso de retención
toda la configuración del impuesto está
en este cuadro
esto también es algo que normalmente se
bloquea en los permisos de varios
usuarios para que no haya tantas manos
tocando porque esto sí sí se
desconfigura puede generar mal algún
comprobante o puede registrarse mal
algún comprobante
hablando de específicamente de las
retenciones
o de las percepciones como les dije
antes en este cuadro está la taza o la
alícuota
que generalmente se utiliza la general
pero puede haber alguna cuenta corriente
que utilice otra alícuota incluso en el
caso de ingresos brutos puede ser que
esto varía de mes a mes para eso lo que
se hace es aplicar en este caso el
padrón de arba o el padrón del organismo
que dispone que alícuota le corresponde
a cada cuenta corriente y en los casos
en que las cuentas corrientes tengan una
alícuota diferente luego lo vamos a ver
se puede especificar en las de los casos
de las diferentes se pueden diferenciar
en la parte de cuentas corrientes pero
éstas alícuotas son las generales las
que se van a aplicar a la mayoría de las
cuentas corrientes"
"Cómo dar de alta, modificar o eliminar cuentas corrientes?","en el menú de listas
encontramos el padrón de cuentas
corrientes
y en esta lista están todas las cuentas
con las que la empresa opera tanto
clientes como proveedores
si queremos buscar una cuenta corriente
lo podemos hacer desde el selector de
arriba buscando por ejemplo colocando la
primera letra el sistema nos va a llevar
al lugar de la lista o podemos buscarlo
por número si sabemos qué número tiene
la cuenta corriente
no podemos buscar por el número podemos
buscar por kuyt podemos filtrar por
tipos esta parte de arriba es para
buscar son filtros de búsqueda
una vez que localizamos la cuenta sobre
la que queremos trabajar podemos ver la
información y modificar la información
que está en el resto de las solapas
en la solapa otros datos encontramos los
datos del domicilio y de contacto de la
cuenta el domicilio fiscal el segundo
domicilio es un domicilio alternativo o
domicilio para envíos y podemos
completar el teléfono la página web mail
y demás
en la solapa de impuestos está la
configuración impositiva de esa cuenta
para que al momento de generarle un
comprobante o de registrar un
comprobante que nos hayan emitido
podamos el sistema pueda armar con la
configuración que corresponde ese
comprobante
la solapa de crédito en este punto no lo
usamos
y lo que sí tenemos que completar es un
dato obligatorio es la cuenta contable
que va a utilizar esa cuenta corriente
en este selector aparecen las cuentas de
tipo deudores o acreedores solamente y
vamos a tener que seleccionar cuál es la
que va a utilizar la que va a buscar el
sistema al hacer un asiento con esta
cuenta corriente
y por último podemos en la solapa afirma
dejar registrada la firma del titular de
la empresa si lo necesitamos podemos
tener la firma digitalizada acá
si tuviésemos que hacer alguna
modificación sobre alguna cuenta
corriente que ya existe lo que hacemos
es hacer la modificación que haga falta

y por último tenemos que tocar el botón
modificar para que se grabe el cambio si
yo cierro sin tocar modificar ese cambio
no se grabó
en el caso de que tengamos que agregar
una nueva cuenta lo que hacemos es desde
la solapa principal seleccionar la
opción nuevo
y en el nombre en el casillero de nombre
que tiene que estar en blanco vamos a
poner la nueva cuenta contable screen es
cualquier cosa el alias que me sugiere
el sistema siempre es el próximo días
que está libre le suma 1 al último alias
que se usó
y tendría que seleccionar qué tipo de
cuenta es la que estoy dando de alta
esto es solamente para informes para
hacer búsquedas después de saldos o
algún otro informe del sistema
pero es conveniente ponerle el tipo
correcto acá en esta base de datos que
yo tengo que es de prueba hay muchos
tipos pero lo ideal sería tener los
tipos de cuentas que ustedes vayan a
utilizar para que esto sirva realmente
como filtro en la búsqueda
una vez que completamos esta solapa nos
vamos a la siguiente completamos el
domicilio todos los datos de la empresa
nos vamos a la solapa siguiente y acá
tenemos que completar el cuit de la
empresa
bueno si volvemos un with que no existe
nos va a pasar esto nos va a decir que
es un quit inválido

y ahora vamos a ver lo que pasa cuando
usamos un quit que ya está usado yo ya
tengo una cuenta corriente con este kit
ahora cuando llegamos al final vamos a
ver lo que pasa acá vamos a tener que
completar los impuestos por lo menos en
la situación de iva si es responsable
script o si es monotributista después
todo lo demás percepciones y retenciones
a medida que vayamos aplicando padrones
se van a ir actualizando
la solapa de crédito como dijimos no la
usamos y en la solapa varios vamos a
indicar
la cuenta contable que le corresponda la
firma no la tenemos ahora fíjense que
cuando yo toco el botón agregar me dice
que ya existen cuentas con este quit por
las dudas que yo me esté equivocando me
lo me lo consulta y si yo le digo que sí
que no importa prosigo con la carga y
doy de alta la nueva cuenta
en el caso de que tengamos que eliminar
una cuenta corriente también lo hacemos
desde acá lo que pasa es que no vamos a
poder eliminar una cuenta que tenga
movimientos
tendríamos que por ejemplo si hay una
cuenta que ya no la queremos más no la
queremos usar más tenemos que ponerle
algo en el nombre que nos indique que no
la tenemos que usar por ejemplo
cambiarle el nombre esto es algo que
hacemos habitualmente
que lo puede hacer cada usuario

no usar si nosotros le ponemos este
nombre de la cuenta nadie le va a usar
la podemos eliminar si es una cuenta
nueva que no tiene movimientos ningún
problema
no vamos a tener un problema de
eliminarlo pero si queremos eliminar una
cuenta que si está usada vista por
ejemplo yo pongo eliminar confirma la
baja así la cuenta no pudo eliminarse
por utilizarse en otra tabla no me va a
dejar eliminar una cuenta que tenga
movimientos
y por último vamos a ver este botoncito
del padrón de arba que es para empresas
que estén en la provincia de buenos
aires es una consulta de alícuota de
retención y percepción de ingresos
brutos puntualmente de la cuenta que
tenemos seleccionada si yo toco acá
siempre y cuando tenga configurada la
cuota la clave si de arba en mis
parámetros el sistema se comunica con la
página de arba y me arroja las alícuotas
del mes en curso
esta consulta es individual si yo quiero
saber la alícuota que les corresponde a
todas las empresas que tengo
en mi sistema en mi base de datos lo que
tengo que hacer es aplicar el padrón que
lo vamos a ver en otro punto"
Cómo registrar un comprobante de terceros?,"vamos a ver ahora la registración de un
comprobante de terceros de cuenta
corriente vamos a entrar a la solapa
cuenta corriente de terceros
los pasos son muy parecidos a lo que
vimos recién lo que tenemos que hacer es
seleccionar la cuenta corriente
con la tecla tab vamos avanzando lo
próximo que tenemos que seleccionar es
la moneda que está emitida esa factura
si yo selecciona dólares se habilita el
cuadrado de la cotización que por
supuesto sugiere la cotización del día
la que nosotros confirmamos como
cotización del día de hoy
y se habilita el selector para indicar
en qué moneda voy a ingresar los datos
lo que yo type van a ser pesos o dólares
en este ejemplo vamos a tomar la opción
de registrar el comprobante pesos
entonces se van a gritar esos dos
casilleros lo siguiente que vamos a
completar en el encabezado es el tipo de
comprobante que vamos a registrar le
vamos a poner la fecha real del
comprobante por ejemplo es un
comprobante de septiembre que me lo
traen recién ahora entonces en la fecha
de registración voy a poner la de hoy
para poder tomar el iva de ese
comprobante para el mes de curso
luego vamos a poner el número de
comprobante
y ya estamos en el cuerpo del
comprobante una vez que terminamos con
la parte superior que es la del
encabezado podemos poner una descripción
del comprobante en general que es lo que
va a aparecer en el resumen de cuenta

y vamos a completar los renglones de la
factura para eso vamos a tocar este
botón de la carpetita amarilla en todos
es igual podemos poner una descripción
del renglón

vamos a poner la cantidad el precio

el sistema calcula el importe y lo que
le tenemos que decir también es qué tipo
de importe es este renglón que acabamos
de ingresar en este caso vamos a poner
gravados servicios esto lo que va a
determinar es la alícuota es que va a
grabar ese reglón y si después me van a
generar retenciones o no cuando me
paguen de acuerdo al grabado que haya
seleccionado
por último lo que tengo que seleccionar
para este renglón es la cuenta contable
y esto lo tenemos que hacer a mano
porque no es algo que esté grabado en el
sistema algo que esté preestablecido una
factura que me llega que el sistema no
sabe de qué se trata
no es algo propio del negocio tal vez
podemos aceptar y ya nos quedó grabado
el renglón supongamos que además esta
factura tiene una percepción de ingresos
brutos entonces tocó otra vez la
carpetita se vuelve a abrir esta
ventanita y voy a ingresar un nuevo
reclamo
vamos a poner el valor de la percepción
vamos a poner cualquier cosa en el
importe y en tipo de importe tenemos que
buscar el impuesto que estamos
ingresando
esto se va a informar después si ponemos
el tipo de importe correcto se va a
levantar en el informe de percepciones
de ingresos brutos que tengo que emitir

fíjense que la cuenta contable del
impuesto está gris a da es correcta está
esta cuenta contable pero no me permite
modificarla esto es para evitar errores
esta cuenta contable se configura en
configuración impuestos cada impuesto
tiene una cuenta contable y solamente la
puedo modificar desde ahí acá me la va a
mostrar pero nos va a dejar modificar la
podemos aceptar
si el importe que tengo en la factura
coincide con el que te muestra el
sistema quiere decir que ya terminé y el
próximo paso solamente es tocar el botón
aceptar para grabar el asiento y
registrar el comprobante lo voy a sacar
este tilde porque no tengo habilitada la
opción de facturación electrónica pero
ustedes después no lo van a hacer
directamente van a tocar el botón
aceptar
y me aparece este cartel que me da la
seguridad de que se grabó el comprobante

almacena imagen hay empresas que quieren
guardar un pdf una imagen escaneada de
cada comprobante que registran si yo le
pongo que si me va a abrir una ventana
para escanear el comprobante si le pongo
que no directamente se va a guardar y yo
puedo asignarle después formato si yo
quisiera levantar esta este comprobante
de terceros el sistema tiene un
formulario que es el mismo para todos
no va a ser la imagen real
de poco que no y se terminó el proceso
recién ahí terminó el proceso de la
carga"
Cómo hacer un recibo?,"para hacer un movimiento de fondos vamos
a ir al punto de registración movimiento
de fondos desde este punto tenemos
varios tipos de movimiento para hacer
si desplegamos el selector de tipos de
movimiento
tenemos pago y cobro encuesta corriente
entrada o salida de caja movimientos de
contado movimientos entre cuentas
contables vamos a ir viendo todos vamos
a empezar por el punto cobro en cuenta
corriente
una vez que seleccionó el tipo de
movimiento
tengo que poner la cuenta corriente que
me está pagando en el selector que sigue
vamos a elegir esta cuenta
el sistema me va a mostrar el saldo
contable y el saldo vencido que tiene
esta cuenta corriente
y yo lo que le voy a tener que decir es
en qué moneda voy a registrar este cobro
vamos a suponer que estoy tomando un
pago en pesos
obviamente expresado en pesos si yo
quisiera tomar este pago en moneda dólar
que el recibo quede grabado en moneda
dólar acá selecciono dólar
y en el segundo selector tengo que
seleccionar en qué moneda voy a escribir
qué moneda voy a tipear lo que me está
pagando a esta cuenta y me va a pedir
lógicamente una cotización
vamos a dejarlo en pesos pesos en el
casillero de número este es el número
del recibo lo voy a dejar en cero porque
yo lo voy a imprimir si yo le pusiera un
número fíjense que el botón imprimir se
gris a porque solamente lo voy a
registrar si lo quiero imprimir el
casillero de número tiene que quedar en
cero
luego tengo la opción de aplicar este
cobro a una factura en este cuadro de
aplicaciones van a estar todas las
facturas pendientes que tengan algún
saldo pendiente de aplicar que tenga
esta cuenta corriente en este caso yo
tengo ésta
que no tiene nada aplicado es una
factura de seis mil cincuenta pesos y no
tiene aplicado nada una vez que
seleccione la factura para que este
cobro ya se grabe aplicado a la factura
voy a tocar este botón de la carpetita
amarilla y voy a ingresar de qué manera
estoy cobrando tengo la opción de
ingresar un cheque de un tercero
efectivo otros que normalmente lo usamos
para transferencias bancarias
retenciones o débito en otra cuenta
corriente vamos a suponer que esta
cuenta me va a pagar con un cheque
pongo el número del cheque
pongo el quit del librador que es el
tercero el titular del cheque

la fecha de vencimiento del cheque de
que banco
el importe como yo ya tengo seleccionado
una factura me va a sugerir el importe
total de la factura y la cuenta de
valores si yo tuviera diferentes
carteras la puedo seleccionar
generalmente tenemos solo una que es
valores a depositar aceptamos
y se graba un renglón con una forma de
pago si yo no hubiese ingresado el total
de la factura y hubiese ingresado
solamente una parte lo que hago es
ingresar otro renglón para terminar el
importe de la factura
una vez que terminamos con esto vamos a
imprimir acuérdense que como no le
pusimos número al formulario vamos a
imprimir el comprobante tocamos imprimir

y el sistema nos va a sugerir cuál es el
próximo número libre
confirmamos el número podemos aceptar
seleccionamos la impresora
esta es una impresora virtual por ese
motivo un nombre
y ya nos queda impreso y grabado el
recibo"
Cómo hacer un pago por orden de pago?,"vamos a ver una de las maneras de hacer
una orden de pago vamos a entrar en el
punto de registración órdenes de pago

este punto nos va a permitir hacer el
pago de la factura y además calcular las
retenciones desde este mismo punto y
generar las emitidas
lo primero que vamos a buscar es si
buscamos una cuenta particular la cuenta
corriente
y vamos a tocar el botón buscar nos van
a aparecer todos los comprobantes que
tenga esta cuenta corriente lo que
hacemos es clic dentro de la zona donde
están las los comprobantes y vamos a
seleccionar el que queremos en este caso
vamos a seleccionar esta factura de 620
pesos como viene todo marcado vamos a
usar este botón de desmarcar para
desmarcar todos los comprobantes y vamos
a seleccionar sobre el que queremos
hacer el pago para que el pago ya quede
aplicado a la factura y se puedan
generar las retenciones de esa factura
en particular
fíjense que está atildado genera
retenciones si yo saco este tilde este
botón se gris a si pongo el tilde rojo
me permite calcular las retenciones
estas retenciones se van a calcular de
acuerdo a la configuración impositiva de
la cuenta corriente y las mías en este
caso me calcula una retención de
ingresos brutos de 1 con 50 la factura
era de 600 20 entonces el saldo que me
queda por pagar el 618 con 50 para
ingresar la forma de pago de ese saldo
voy a tocar este botón amarillo
y tengo que seleccionar la solapa que
voy a usar puedo usar un cheque propio
un cheque de terceros que tengo en
cartera efectivo otros que lo usamos
para transferencias retenciones si yo
estuviera generadas por ejemplo desde la
página de arba o de afip las ingresos
desde acá o débito en otra cuenta
corriente vamos a hacer un cheque propio
vamos a poner el número de cheque acá
si fuera un pago diferido voy a poner la
fecha de vencimiento
y tengo que seleccionar la cuenta
el banco emisor del cheque el importe
que me sugiere es el del saldo
acepto
y entonces ya estoy en condiciones de
imprimir los comprobantes toco el botón
generar
lo primero que voy a imprimir son las
retenciones
me trae el próximo número que
corresponde a esa retención vamos a
poner a aceptar

cheques si yo emitiera los cheques por
sistema los puedo imprimir por acá no lo
tengo configurado así que no lo vamos a
ver acá
vamos a directamente imprimir la orden
de pago
yo pongo la sucursal esto podría pasar
que yo tenga más de una sucursal
de acuerdo a la sucursal que seleccione
me va a sugerir el próximo número libre
pongo aceptar otra vez el mismo proceso
yo lo estoy haciendo en una impresora
pdf

una vez que termine de imprimir todos
los comprobantes toco el botón cancelar"
Zonas Comerciales,"listas zonas comerciales
esto lo que me permite estar de alta
obviamente son los comerciales si mi
negocio lo requieren si yo por una
organización interna quiero establecer
son los comerciales lo hago desde acá
puedo dar de alta

una zona comercial
puedo modificar una que ya existe

y puedo eliminar algunas de la lista
siempre y cuando no haya sido usada en
la otra tabla"
"Cómo dar de alta, modificar o eliminar comisionistas?","listas comisionistas en este punto lo
que voy a hacer es dar de alta los
nombres de mis vendedores de mis
comisionistas voy a dar de alta una
etiqueta con el nombre y eso me va a dar
la posibilidad de utilizar este dato al
momento de hacer por ejemplo una nota de
pedido en el módulo de insumos y eso
luego me va a permitir hacer informes
para saber la efectividad de mis
vendedores la cantidad de operaciones y
demás
si quisiéramos por ejemplo dar de alta a
uno nuevo
escribimos el nombre si queremos ponemos
la dirección de e-mail
ponemos la zona comercial donde opera
le podemos poner una alias para
encontrarlo rápidamente
y le vamos a poner una comisión
predeterminada no es un dato obligatorio
si queremos lo podemos poner
y lo damos de alta
si quisiéramos modificar algunos de los
que están en la lista lo que hacemos es
seleccionarlo podemos
eliminarlos si no está usado en ninguna
otra tabla o modificar alguno de los
datos
y tocamos el botón modificar"
"Cómo hacer el alta, baja o modificación de entidades bancarias?","y estas entidades financieras acá lo que
hacemos es dar de alta modificar o
eliminar alguna entidad financiera o sea
algún banco si esta es la lista de todos
los bancos con los que podemos llegar a
operar nosotros o que podemos llegar a
recibir por ejemplo algún cheque cuando
nos hacen algún pago también funciona
como si fueran bancos las tarjetas de
crédito fíjense que al final tenemos
algunos casos de tarjetas de crédito
esto por supuesto en la lista yo puedo
agregar si tengo algún banco que no está
en esta lista lo agrego escribiendo el
nombre en la descripción
si tengo el quit lo pongo si no no lo
pongo nada porque esto no es un dato
obligatorio y lo agrego
ya está formando parte de la lista si
tuviera que modificar algunos de los que
ya existe lo seleccionó
agregó lo que sea o quito lo que sea del
nombre y toco el botón modificar
y lo mismo si lo tuviera que eliminar yo
para poder eliminar algo de esta lista
necesito que no esté usado en otra tabla
así que por ejemplo acá me va a dejar
solamente eliminar este el que acabamos
de dar de alta que sabemos que no está
usado
estos datos de abajo más cara de entrada
es el formato del número de cuenta
codificación pero esto aconsejamos que
no lo usen porque no son datos
obligatorios en todo caso si en algún
momento necesitan agregar alguno de
estos datos se comunican con nosotros y
lo hacemos desde acá"
Cómo utilizar la Lista de precios en un comprobante?,"ahora vamos a ver cómo utilizamos esa
lista de precios en los comprobantes
nosotros habíamos configurado de esa
lista de precios para que funcionara con
los clientes con las cuentas corrientes
de tipo cliente la cuenta corriente juan
gonzález es de tipo cliente entonces
cuando yo le vaya hacer una factura de
venta
en la solapa de talle me va a sugerir la
lista de precios 2 que es la que
acabamos de configurar en el caso de que
yo seleccione una condición comercial o
una condición de venta por ejemplo a 30
días ese valor que cargamos en la lista
de precios va a tener el recargo que
está configurado en la condición de
venta
así que si buscamos en la lista de
artículos un cónsul ante que fue el
rubro que configuramos

vamos a ver qué sugiere el precio
calcula el precio más la condición
comercial es de comercial y cuando
pongamos la cantidad nos va a calcular
el importe
con el recargo de la condición comercial
lo subimos con el botón amarillo y ahí
tenemos el detalle de la cantidad el
precio el precio con la condición
comercial y el total"
Cómo separar pedidos por cambio de modalidad de facturación?,"vamos a ver cómo separar un pedido en
dos pedidos diferentes esto sirve para
los casos por ejemplo en los que se
cargan el sistema un pedido para una
venta directa un pedido de venta
y en la agronomía le entrega la
mercadería al cliente antes de que el
proveedor se la mandé y una vez que esa
mercadería ya fue entregada al cliente
se cambia la modalidad de facturación de
esos dos artículos por ejemplo que se
llevó el productor uno si se va a
mantener con facturación directa del
proveedor y el otro lo va a facturar la
agronomía vamos a hacer un caso para que
quede más claro yo tengo hecho un pedido
de venta directo con un cliente mío

y le voy a hacer el remito
vamos a hacer un ejemplo el pedido
directo ya lo tengo cargado con dos
artículos diferentes vamos a poner la
cuenta corriente
facturación vamos a filtrar estamos
haciendo el remito ahora vamos a poner
facturación directa del proveedor
monsanto cuando ponemos buscar nos trae
el pedido que yo cargué recién que tiene
dos artículos siempre de forma directa

seleccionó el pedido y en la solapa de
detalle indicó que el cliente se está
llevando
todo lo que pidió esto va a quedar
pendiente de que monsanto me lo mande a
mí
a mi agronomía
imprimimos el remito

bueno no tengo esto vamos a poner que
ramito igual
imprimimos al ratito

bien
cuando el cliente se lleva la mercadería
finalmente cambia el negocio y de estos
dos artículos uno lo va a facturar
monsanto pero el otro lo quiero facturar
yo
para no tener que hacer un reingreso de
la mercadería al stock y dar de alta un
pedido nuevo y reducir el pedido
original se agregó una herramienta que
permite al hacer la factura
separar en dos pedidos distintos ahora
lo vamos a ver yo le voy a emitir la
factura de lo que me corresponde
facturar a mí a este productor

para que me traiga el pedido voy a
filtrar por modalidad directa de
monsanto
porque esto funciona como filtro
todo depende de cómo estén configurados
los parámetros pero en la solapa
búsqueda va a traer lo que yo tenga
filtrado en la sala para general acá
está el pedido sobre el que hicimos el
remito recién estos dos artículos el
productor yo se lo llevo en este remito
que me muestra acá abajo
estas 80 estos 80 litros de atrazina se
los quiero facturar yo tengo que
separarlos del pedido original que tiene
modalidad normal entonces lo que hago es
seleccionar el renglón y tocar el botón
separa este artículo en un nuevo pedido
se creó el pedido 310 520 76

y se le asignó este artículo este pedido
que generó el sistema lo generó con la
misma modalidad que tiene el pedido
original voy a tener que entrar al
pedido

mira en que terminen 76

está con la cuenta corriente el detalle
es el que yo le indique es pero tengo
que cambiar la modalidad en lugar de
facturación directa vamos a poner
facturación normal y lo vamos a
modificar
esto me va a permitir primero que en la
posición comercial se actualicen las
cantidades yo no voy a tener más
pendiente de entrega de monsanto estos
80 litros porque ya no son más de una
operación directa son de una operación
mía
y me va a permitir poder hacer la
factura ahora sí cuando eso vaya a ser
una factura a este productor

vamos a ir haciéndolo como daría normal

voy a tener como pendiente este pedido
por los 80 litros de atrás y más
y los puedo facturar directamente es
muchísimo más ágil
no le pusimos precio es muchísimo más
ágil que tener que reducir el pedido y
generar un pedido nuevo y hacer el
ingreso del stock
este botón está tanto para pedidos de
venta como para pedidos de compra en el
caso por ejemplo de que yo tenga un
pedido de compra con modalidad no
comercial porque esos artículos van a
ingresar en consignación el productor el
proveedor me los manda yo ya los tengo
en mi depósito pero por una conveniencia
de precio por lo que sea yo decido
comprar de manera normal algunos de esos
artículos entonces tengo la posibilidad
de tocar el mismo botón del lado de
compras y separar en un nuevo pedido con
modalidad normal los pedidos que quiero
los artículos que quiero que me factura
el proveedor"
